Title,Reviews,Review_Points,Address,Website,Phone,latitude,longitude,Category
SIPS,27 reviews,5.0,"3rd Floor, Sahara Arcade, Urban Blvd, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6897758,73.2118016,Coffee shop
M Arabic CafÃÂ©,4 reviews,5.0,"Urban Blvd, Sector A Bahria Enclave, Islamabad44000, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 51 8911137,33.6888654,73.2109413,Cafe
Pakistan Quetta Cafe,1 review,4.0,"Plaza No 10-G, Hassan Arcade, Opposite Bahria Enclave Zoo, Sector C Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 320 0277396,33.686655,73.211936,Breakfast restaurant
Syed and Family House LTD,7 reviews,4.9,"St 23, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,Add place's phone number,33.6909317,73.2180399,Cafe
Toastd Cafe and Bakery Bahria Enclave Islamabad,13 reviews,4.7,"Sector C plaza 25 Devine Arcade 2, Bahria Enclave, Islamabad, Pakistan",Add website,092 336 5377026,33.6881729,73.2153253,Bakery
Refreshment Gallery,3 reviews,5.0,"M6Q6+PM5, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 318 1977561,33.6892652,73.211729!,Pakistani restaurant
Chikachino,61 reviews,3.8,"A-27, GMK Plaza, Main Boulevard, opp. Bahria ZooÃÂ, Islamabad, Pakistan",Add website,092 51 2612889,33.6859425,73.2107432,Pakistani restaurant
CafÃÂ© 007,21 reviews,4.2,"Shop no. 1 Sahara Arcade, Urban Blvd, Sector A Islamabad, 44000, Pakistan",cafe007.com.pk,092 333 5073007,33.6897041,73.2114562,Fast food restaurant
Tukkar Paani,11 reviews,4.6,"M6R6+4V2, Sector A Bahria Enclave, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 302 9700127,33.690268,73.2121777,Pakistani restaurant
OlÃÂ© Bakers,183 reviews,4.0,"M6R7+J5R, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 51 2721038,33.6916036,73.2128953,Bakery
Monarch's Lounge,12 reviews,5.0,"Commercial Ave, Sector A Bahria Enclave, Malot, Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 340 9446656,33.6885929,73.2121432,Other
Cafe Zouq & Bar B Q,1 review,5.0,"opposite Head Office, Bahria Enclave Islamabad, Islamabad Capital Territory, Pakistan",Add website,092 300 6867869,33.6828269,73.2510681,Cafe
7 Ocean Cafe,3 reviews,3.7,"Ground Floor, Meraki Mall, 3rd Ave, Sector G Bahria Enclave, Islamabad, Islamabad Capital Territory 44000, Pakistan",Add website,092 333 5429181,33.6821505,73.2434168,Cafe
Sizzling Wok,19 reviews,4.3,"Shop 4 one enclave, 42 Urban Blvd, Islamabad, Pakistan",Add website,092 51 2721499,33.6886152,73.2103492,Pakistani restaurant
